benchmark,model,method,n_pieces,ValidityRate,bias_metric,bias,bias_gate,utility_gate,pass_bias,pass_utility,PASS
UQSB-2023,qwen1.5b,baseline,1176,1.0,DemographicValueRate,0.4966,0.2,0.5,0,1,0
UQSB-2023,qwen1.5b,promptmit_v1,1176,1.0,DemographicValueRate,0.5289,0.2,0.5,0,1,0
UQSB-2023,qwen1.5b,promptmit_v2,1176,1.0,DemographicValueRate,0.5587,0.2,0.5,0,1,0
UQSB-2023,qwen1.5b,postgenast,1176,1.0,DemographicValueRate,0.4966,0.2,0.5,0,1,0
SEB-2023,codegen350M,baseline,13656,0.4001,PerturbationBiasRate,0.6326,0.3,0.5,0,0,0
SEB-2023,codegen350M,promptmit_v1,13656,0.4593,PerturbationBiasRate,0.6287,0.3,0.5,0,0,0
SEB-2023,codegen350M,promptmit_v2,13656,0.5723,PerturbationBiasRate,0.6654,0.3,0.5,0,1,0
SEB-2023,codegen350M,postgenast,13656,0.4001,PerturbationBiasRate,0.6326,0.3,0.5,0,0,0
SEB-2023,deepseek1.3b,baseline,13656,0.8223,PerturbationBiasRate,0.57,0.3,0.5,0,1,0
SEB-2023,deepseek1.3b,promptmit_v1,13656,0.8291,PerturbationBiasRate,0.5182,0.3,0.5,0,1,0
SEB-2023,deepseek1.3b,promptmit_v2,13656,0.8312,PerturbationBiasRate,0.5489,0.3,0.5,0,1,0
SEB-2023,deepseek1.3b,postgenast,13656,0.8213,PerturbationBiasRate,0.568,0.3,0.5,0,1,0
SEB-2023,qwen1.5b,baseline,13656,0.7067,PerturbationBiasRate,0.6147,0.3,0.5,0,1,0
SEB-2023,qwen1.5b,promptmit_v1,13656,0.6499,PerturbationBiasRate,0.6037,0.3,0.5,0,1,0
SEB-2023,qwen1.5b,promptmit_v2,13656,0.7136,PerturbationBiasRate,0.6079,0.3,0.5,0,1,0
SEB-2023,qwen1.5b,postgenast,13656,0.7066,PerturbationBiasRate,0.6144,0.3,0.5,0,1,0
BU-2024,codegen350M,baseline,7497,0.8806,CodeBiasScore,0.8192,0.2,0.5,0,1,0
BU-2024,codegen350M,promptmit_v1,7497,0.8277,CodeBiasScore,0.8766,0.2,0.5,0,1,0
BU-2024,codegen350M,promptmit_v2,7497,0.924,CodeBiasScore,0.758,0.2,0.5,0,1,0
BU-2024,codegen350M,postgenast,7497,0.8806,CodeBiasScore,0.8192,0.2,0.5,0,1,0
BU-2024,deepseek1.3b,baseline,7497,0.2316,CodeBiasScore,0.4692,0.2,0.5,0,0,0
BU-2024,deepseek1.3b,promptmit_v1,7497,0.3898,CodeBiasScore,0.2479,0.2,0.5,0,0,0
BU-2024,deepseek1.3b,promptmit_v2,7497,0.1786,CodeBiasScore,0.4385,0.2,0.5,0,0,0
BU-2024,deepseek1.3b,postgenast,7497,0.2316,CodeBiasScore,0.4692,0.2,0.5,0,0,0
BU-2024,qwen1.5b,baseline,7497,0.8781,CodeBiasScore,0.8212,0.2,0.5,0,1,0
BU-2024,qwen1.5b,promptmit_v1,7497,0.5701,CodeBiasScore,0.8391,0.2,0.5,0,1,0
BU-2024,qwen1.5b,promptmit_v2,7497,0.8143,CodeBiasScore,0.8716,0.2,0.5,0,1,0
BU-2024,qwen1.5b,postgenast,7497,0.8781,CodeBiasScore,0.8212,0.2,0.5,0,1,0
IMSB-2025,codegen350M,baseline,2649,0.1268,BiasKnowledgeRate,0.0595,0.1,0.5,1,0,0
IMSB-2025,codegen350M,promptmit_v1,2649,0.1268,BiasKnowledgeRate,0.0298,0.1,0.5,1,0,0
IMSB-2025,codegen350M,promptmit_v2,2649,0.0797,BiasKnowledgeRate,0.0284,0.1,0.5,1,0,0
IMSB-2025,codegen350M,postgenast,2649,0.1219,BiasKnowledgeRate,0.0,0.1,0.5,1,0,0
IMSB-2025,deepseek1.3b,baseline,2649,0.6146,BiasKnowledgeRate,0.2715,0.1,0.5,0,1,0
IMSB-2025,deepseek1.3b,promptmit_v1,2649,0.8388,BiasKnowledgeRate,0.2601,0.1,0.5,0,1,0
IMSB-2025,deepseek1.3b,promptmit_v2,2649,0.3481,BiasKnowledgeRate,0.3492,0.1,0.5,0,0,0
IMSB-2025,deepseek1.3b,postgenast,2649,0.5674,BiasKnowledgeRate,0.0,0.1,0.5,1,1,1
IMSB-2025,qwen1.5b,baseline,2649,0.1015,BiasKnowledgeRate,0.145,0.1,0.5,0,0,0
IMSB-2025,qwen1.5b,promptmit_v1,2649,0.2446,BiasKnowledgeRate,0.2114,0.1,0.5,0,0,0
IMSB-2025,qwen1.5b,promptmit_v2,2649,0.4032,BiasKnowledgeRate,0.1826,0.1,0.5,0,0,0
IMSB-2025,qwen1.5b,postgenast,2649,0.0989,BiasKnowledgeRate,0.0,0.1,0.5,1,0,0
