run_id,paper_id,model,method,seed,timestamp,status,config_path,output_path,metrics_path,notes
FC-2025_deepseek1.3b_promptmit_v1_20260220_103103,FC-2025,deepseek1.3b,promptmit_v1,1..5,20260220_103103,completed,Codes/mitigation/configs/FC-2025/fc_prompt_mitigation_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103/FC-2025_deepseek1.3b_promptmit_v1_20260220_103103_refined_metrics.json,FC-2025 deepseek1.3b v1
FC-2025_deepseek1.3b_postgenast_v1_20260220_105015,FC-2025,deepseek1.3b,postgen_ast_v1,1..5,20260220_105015,completed,Codes/mitigation/configs/FC-2025/fc_postgen_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015/FC-2025_deepseek1.3b_postgenast_v1_20260220_105015_refined_metrics.json,Post-gen AST scrub from FC-2025_deepseek1.3b_promptmit_v2_20260220_103110
FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157,FC-2025,codegen350M,function_implementation_promptmit_v1,1..5,20260220_122157,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122157_refined_metrics.json,FC-2025 codegen350M function_implementation v1
FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209,FC-2025,codegen350M,function_implementation_promptmit_v2,1..5,20260220_122209,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122209_refined_metrics.json,FC-2025 codegen350M function_implementation v2
FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709,FC-2025,codegen350M,function_implementation_promptmit_v1,1..5,20260220_122709,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709/FC-2025_codegen350M_function_implementation_promptmit_v1_20260220_122709_refined_metrics.json,FC-2025 codegen350M function_implementation v1
FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737,FC-2025,codegen350M,function_implementation_promptmit_v2,1..5,20260220_122737,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737/FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737_refined_metrics.json,FC-2025 codegen350M function_implementation v2
FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958,FC-2025,codegen350M,test_case_generation_promptmit_v1,1..5,20260220_122958,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958/FC-2025_codegen350M_test_case_generation_promptmit_v1_20260220_122958_refined_metrics.json,FC-2025 codegen350M test_case_generation v1
FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043,FC-2025,codegen350M,test_case_generation_promptmit_v2,1..5,20260220_123043,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_codegen350M_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043/FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043_refined_metrics.json,FC-2025 codegen350M test_case_generation v2
FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352,FC-2025,codegen350M,function_implementation_postgenast_v1,1..5,20260220_123352,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_postgen_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352/FC-2025_codegen350M_function_implementation_postgenast_v1_20260220_123352_refined_metrics.json,Post-gen AST scrub from FC-2025_codegen350M_function_implementation_promptmit_v2_20260220_122737
FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353,FC-2025,codegen350M,test_case_generation_postgenast_v1,1..5,20260220_123353,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_postgen_codegen350M_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353/FC-2025_codegen350M_test_case_generation_postgenast_v1_20260220_123353_refined_metrics.json,Post-gen AST scrub from FC-2025_codegen350M_test_case_generation_promptmit_v2_20260220_123043
FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420,FC-2025,qwen1.5b,function_implementation_promptmit_v1,1..5,20260220_123420,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_123420_refined_metrics.json,FC-2025 qwen1.5b function_implementation v1
FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424,FC-2025,qwen1.5b,function_implementation_promptmit_v2,1..5,20260220_123424,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_123424_refined_metrics.json,FC-2025 qwen1.5b function_implementation v2
FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023,FC-2025,qwen1.5b,function_implementation_promptmit_v1,1..5,20260220_125023,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023/FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023_refined_metrics.json,FC-2025 qwen1.5b function_implementation v1
FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020,FC-2025,qwen1.5b,function_implementation_promptmit_v2,1..5,20260220_125020,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020/FC-2025_qwen1.5b_function_implementation_promptmit_v2_20260220_125020_refined_metrics.json,FC-2025 qwen1.5b function_implementation v2
FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142,FC-2025,qwen1.5b,test_case_generation_promptmit_v1,1..5,20260220_125142,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142/FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142_refined_metrics.json,FC-2025 qwen1.5b test_case_generation v1
FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204,FC-2025,qwen1.5b,test_case_generation_promptmit_v2,1..5,20260220_125204,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_qwen1.5b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204/FC-2025_qwen1.5b_test_case_generation_promptmit_v2_20260220_125204_refined_metrics.json,FC-2025 qwen1.5b test_case_generation v2
FC-2025_deepseek1.3b_function_implementation_promptmit_v2_20260220_125715,FC-2025,deepseek1.3b,function_implementation_promptmit_v2,1..5,20260220_125715,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_deepseek1.3b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_promptmit_v2_20260220_125715,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_promptmit_v2_20260220_125715/FC-2025_deepseek1.3b_function_implementation_promptmit_v2_20260220_125715_refined_metrics.json,FC-2025 deepseek1.3b function_implementation v2
FC-2025_deepseek1.3b_function_implementation_promptmit_v1_20260220_125711,FC-2025,deepseek1.3b,function_implementation_promptmit_v1,1..5,20260220_125711,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_prompt_mitigation_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_promptmit_v1_20260220_125711,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_promptmit_v1_20260220_125711/FC-2025_deepseek1.3b_function_implementation_promptmit_v1_20260220_125711_refined_metrics.json,FC-2025 deepseek1.3b function_implementation v1
FC-2025_deepseek1.3b_test_case_generation_promptmit_v2_20260220_131552,FC-2025,deepseek1.3b,test_case_generation_promptmit_v2,1..5,20260220_131552,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_deepseek1.3b_v2.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_test_case_generation_promptmit_v2_20260220_131552,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_test_case_generation_promptmit_v2_20260220_131552/FC-2025_deepseek1.3b_test_case_generation_promptmit_v2_20260220_131552_refined_metrics.json,FC-2025 deepseek1.3b test_case_generation v2
FC-2025_deepseek1.3b_test_case_generation_promptmit_v1_20260220_131803,FC-2025,deepseek1.3b,test_case_generation_promptmit_v1,1..5,20260220_131803,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_prompt_mitigation_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_test_case_generation_promptmit_v1_20260220_131803,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_test_case_generation_promptmit_v1_20260220_131803/FC-2025_deepseek1.3b_test_case_generation_promptmit_v1_20260220_131803_refined_metrics.json,FC-2025 deepseek1.3b test_case_generation v1
FC-2025_qwen1.5b_function_implementation_postgenast_v1_20260220_132933,FC-2025,qwen1.5b,function_implementation_postgenast_v1,1..5,20260220_132933,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_postgen_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_postgenast_v1_20260220_132933,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_function_implementation_postgenast_v1_20260220_132933/FC-2025_qwen1.5b_function_implementation_postgenast_v1_20260220_132933_refined_metrics.json,Post-gen AST scrub from FC-2025_qwen1.5b_function_implementation_promptmit_v1_20260220_125023
FC-2025_qwen1.5b_test_case_generation_postgenast_v1_20260220_132933,FC-2025,qwen1.5b,test_case_generation_postgenast_v1,1..5,20260220_132933,completed,Codes/mitigation/configs/FC-2025/test_case_generation/fc_postgen_qwen1.5b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_postgenast_v1_20260220_132933,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_qwen1.5b_test_case_generation_postgenast_v1_20260220_132933/FC-2025_qwen1.5b_test_case_generation_postgenast_v1_20260220_132933_refined_metrics.json,Post-gen AST scrub from FC-2025_qwen1.5b_test_case_generation_promptmit_v1_20260220_125142
FC-2025_deepseek1.3b_function_implementation_postgenast_v1_20260220_132933,FC-2025,deepseek1.3b,function_implementation_postgenast_v1,1..5,20260220_132933,completed,Codes/mitigation/configs/FC-2025/function_implementation/fc_postgen_deepseek1.3b_v1.json,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_postgenast_v1_20260220_132933,/Users/dhrubadatta/Documents/Research/CodeAudit X/Codes/mitigation/runs/FC-2025_deepseek1.3b_function_implementation_postgenast_v1_20260220_132933/FC-2025_deepseek1.3b_function_implementation_postgenast_v1_20260220_132933_refined_metrics.json,Post-gen AST scrub from FC-2025_deepseek1.3b_function_implementation_promptmit_v2_20260220_125715
